ZONING_ID,ZONING,ZONE_FILE,PD_USE,PD_DENSITY,DEV_AS_PD,COLOR_CODE,TOPOLOGY_VALIDATION
4213,CO,,,0,,4,Yes
2448,CN,,,0,,6,Yes
7585,A(PD),09020,Res,12.5,Yes,2,No
6174,CG,,,0,,7,Yes
1644,CG,,,0,,7,Yes
4323,R-1-1,,,0,,1,Yes
6173,A(PD),97086,Res,29.3,Yes,3,Yes
6501,A(PD),05036,OS,0,,17,Yes
1549,LI,,,0,,14,Yes
7486,CIC,08023,,0,,11,Yes
6849,A(PD),11006,Res,79.6,Yes,3,No
2158,A(PD),08037,Com,0,,6,Yes
2159,CN,,,0,,6,Yes
6851,A(PD),06104,Res,1.6,Yes,1,Yes
2161,LI,,,0,,14,Yes
6852,A(PD),06104,OS,0,,17,Yes
2290,R-2,,,0,,2,Yes
2291,A(PD),05026,Res,11,Yes,2,Yes
2185,LI,,,0,,14,Yes
6418,IP(PD),93017,Ind,0,,13,Yes
2193,A(PD),71133,Com,0,,6,Yes
2195,IP(PD),81034,Ind,0,,13,Yes
2196,A(PD),80008,Com,0,,6,Yes
2197,A(PD),91079,Com,0,,6,Yes
2198,A(PD),90018,Com,0,,6,Yes
2199,IP(PD),91056,Ind,0,,13,Yes
2225,R-2,,,0,,2,Yes
5062,CN,,,0,,6,Yes
4117,CP,,,0,,5,Yes
2338,A(PD),00105,Mix,19.5,Yes,18,Yes
2340,R-M,,,0,,3,Yes
2341,CO,,,0,,4,Yes
1667,A(PD),97014,Res,25,Yes,2,Yes
1582,LI,,,0,,14,Yes
1583,CG,,,0,,7,Yes
1585,LI,,,0,,14,Yes
1587,CG,,,0,,7,Yes
1588,R-MH,,,0,,2,Yes
1684,CN,,,0,,6,Yes
4769,R-1-8(PD),72049,Res,26.5,No,3,Yes
6774,CP,,,0,,5,Yes
6773,R-2,,,0,,2,Yes
6775,R-2,,,0,,2,Yes
6777,CN,,,0,,6,Yes
2216,A(PD),84057,Com,0,,6,Yes
6968,A(PD),86088,Com,0,,6,Yes
4539,CO,,,0,,4,Yes
2227,A(PD),81013,Res,21.8,Yes,2,Yes
2228,A(PD),83092,Com,0,,6,Yes
2229,A(PD),84079,Com,0,,6,Yes
2366,R-M,,,0,,3,Yes
2367,A(PD),04103,Res,12.5,Yes,2,Yes
2368,R-M,,,0,,3,Yes
7503,R-M,09013,,0,,3,Yes
7495,CP,,,0,,5,Yes
6798,R-2,93039,,0,,2,Yes
1663,A,,,0,,17,Yes
6799,A(PD),00116,OS,0,,17,Yes
1577,CG,,,0,,7,Yes
7487,A(PD),85012,Com,0,,6,Yes
7557,A(PD),03025,Res,9.8,Yes,2,Yes
6463,A(PD),92028,Res,6.6,Yes,1,Yes
1624,R-2,,,0,,2,Yes
6461,A(PD),89058,Res,7.7,Yes,1,Yes
1715,IP(PD),78114,Ind,0,,13,Yes
5084,A(PD),03024,Com,0,,6,Yes
7519,R-M,,,0,,3,Yes
7577,R-1-5,,,0,,1,Yes
2218,A(PD),05074,Res,8,Yes,1,Yes
2219,A(PD),82053,Com,0,,6,Yes
6974,A(PD),96069,Res,7.6,Yes,1,Yes
6982,R-2,,,0,,2,Yes
6981,A(PD),11011,Res,54,Yes,3,Yes
2388,A(PD),86010,Res,16.6,Yes,2,Yes
2390,A(PD),04095,Res,17,Yes,2,Yes
8071,R-2,,,0,,2,Yes
2394,A(PD),86015,Res,17.8,Yes,2,Yes
2395,LI,,,0,,14,Yes
8070,A(PD),81146,Res,20.6,Yes,2,Yes
2301,R-M,93039,,0,,3,Yes
2302,A(PD),00052,Res,18.2,Yes,2,Yes
2303,R-2,93039,,0,,2,Yes
2304,CP,05084,,0,,5,Yes
6963,CO,,,0,,4,Yes
5806,R-M(PD),78009,Res,16.2,Yes,2,Yes
5111,HI,06051,,0,,15,Yes
5119,A(PD),03024,OS,0,,17,Yes
6964,R-2,,,0,,2,Yes
5805,A(PD),80038,Res,20.4,Yes,2,Yes
2439,A(PD),99030,Res,15,Yes,2,Yes
6967,R-2,,,0,,2,Yes
6118,R-1-8,,,0,,1,Yes
7144,CO,,,0,,4,Yes
1735,R-M,,,0,,3,Yes
1736,A(PD),83037,Mix,5.8,Yes,18,Yes
1739,CN,,,0,,6,Yes
1740,R-2,,,0,,2,Yes
1741,R-M,,,0,,3,Yes
1669,A(PD),82085,Com,0,,6,Yes
1670,R-1-8,,,0,,1,Yes
2022,CP(PD),04037,Com,0,,5,Yes
4392,CP,,,0,,5,Yes
2293,CO,,,0,,4,Yes
4379,CG,87071,,0,,7,Yes
2296,A(PD),98083,Res,5.8,Yes,1,Yes
2297,A(PD),83005,Com,0,,6,Yes
5605,CP,,,0,,5,Yes
2420,CP,,,0,,5,Yes
2422,R-1-8,,,0,,1,Yes
4446,CN,00021,,0,,6,Yes
2326,R-M,,,0,,3,Yes
2328,CP,,,0,,5,Yes
2329,R-M,,,0,,3,Yes
2331,CO,,,0,,4,Yes
2332,R-M,,,0,,3,Yes
2334,A(PD),91050,Res,11.8,Yes,2,Yes
2369,R-2,,,0,,2,Yes
2370,R-1-8,05016,,0,,1,Yes
4720,CN,,,0,,6,Yes
2373,CG,,,0,,7,Yes
7963,LI,,,0,,14,Yes
1615,R-M,,,0,,3,Yes
1706,CO,,,0,,4,Yes
1707,IP,,,0,,13,Yes
4280,A(PD),88102,PQP,0,,16,Yes
7964,A(PD),12029,OS,0,,17,Yes
7978,CP,,,0,,5,Yes
1768,A(PD),81022,Res,24.2,Yes,2,Yes
5950,R-1-5(PD),71161,Res,5.9,No,1,Yes
1770,R-2,,,0,,2,Yes
1686,A(PD),04010,OS,0,,17,Yes
5604,CO,,,0,,4,Yes
4603,R-1-8,06032,,0,,1,Yes
2661,R-1-8(PD),73144,Com,0,,6,Yes
7925,A(PD),06038,OS,0,,17,No
7924,CIC,12027,,0,,11,Yes
7960,CG,,,0,,7,Yes
7942,R-1-5,,,0,,1,Yes
7959,A(PD),12010,Res,16.4,Yes,2,Yes
8146,A(PD),14001,Com,0,,6,Yes
1999,CN,,,0,,6,Yes
2000,A,,,0,,17,Yes
2028,A(PD),94023,Res,9,Yes,2,Yes
2031,R-1-8,98067,,0,,1,Yes
2032,R-1-8,,,0,,1,Yes
8170,PQP,14015,,0,,16,Yes
8061,HI,,,0,,15,Yes
8062,HI(PD),08002,Ind,0,,15,Yes
8063,A,,,0,,17,Yes
8064,IP,,,0,,13,Yes
8069,R-M,,,0,,3,Yes
1730,A(PD),86100,Com,0,,6,Yes
7385,A(PD),08035,Mix,46.8,Yes,18,Yes
1732,CO,,,0,,4,Yes
