STM_OTF_ID,COMPKEY,COMPTYPE,TYPE,PCD_TYPE,PCD_IN_DAT,PCD_MANUF,STATUS,FLAP_BRAND,AGENCY,OWNER,QTR_PANEL,WATERWAY,MAJ_W_SHED,LONG_NAD83,LAT_NAD83,DETAL_LINK,QUALTY_LEV,REC_DRAW,OTH_PN_CRE,OTH_PN_MOD,CONST_DATE,ACCEP_DATE,AT_MOD_DAT,GE_MOD_DAT,MESSAGE
539,,87,Concrete,,,,EXISTING,,,San Jose,37A,Berryessa Creek,Lower Penitencia,-121.85523,37.418322,,C2,0,MGE,,,,20110916122545,20110325143719,
540,,87,Riprap,,,,EXISTING,,,San Jose,37A,Berryessa Creek,Lower Penitencia,-121.856259,37.415684,,C2,0,MGE,,,,20110916122545,20110325143719,
541,,87,Riprap,,,,EXISTING,,,San Jose,52C,Upper Penitencia Creek,Coyote,-121.864408,37.369889,,C2,0,MGE,,,,20110916122545,20110325143720,
542,,87,Flapgate,,,,EXISTING,,,San Jose,68D,Lower Silver Creek,Coyote,-121.827691,37.354893,,C2,0,MGE,DD-3245,,,20131204080747,20110325143720,
544,,87,Concrete,,,,EXISTING,,,San Jose,68D,Lower Silver Creek,Coyote,-121.816235,37.346086,,C2,0,MGE,,,,20110916122545,20150209092609,
545,,87,Concrete,,,,EXISTING,,,San Jose,68D,Lower Silver Creek,Coyote,-121.81699,37.346633,,C2,0,MGE,,,,20110916122545,20110325143721,
546,,87,Concrete,,,,EXISTING,,,San Jose,68D,Lower Silver Creek,Coyote,-121.81751,37.347075,,C2,0,MGE,,,,20110916122545,20110325143721,
547,,87,Flapgate,,,,EXISTING,,,San Jose,68D,Lower Silver Creek,Coyote,-121.82026,37.350945,,C2,0,MGE,DD-3245,,,20131204083936,20110325143722,
548,,87,Flapgate,,,,EXISTING,,,San Jose,68D,Lower Silver Creek,Coyote,-121.820793,37.351896,,C2,0,MGE,,,,20131204084033,20131204084010,
549,,87,Riprap,,,,EXISTING,,,San Jose,37A,Berryessa Creek,Lower Penitencia,-121.857507,37.41312,,C2,0,MGE,,,,20110916122545,20110325143723,
550,,87,Concrete,,,,EXISTING,,,San Jose,37A,Berryessa Creek,Lower Penitencia,-121.85611,37.415901,,C2,0,MGE,,,,20110916122545,20110325143723,
551,,87,Concrete,,,,EXISTING,,,San Jose,37A,Berryessa Creek,Lower Penitencia,-121.855946,37.416158,,C2,0,MGE,,,,20110916122545,20110325143724,
552,,87,Concrete,,,,EXISTING,,,San Jose,37A,Berryessa Creek,Lower Penitencia,-121.856181,37.415756,,C2,0,MGE,,,,20110916122545,20110325143724,
556,,87,Pipe,,,,EXISTING,Waterman,,San Jose,52C,Upper Penitencia Creek,Coyote,-121.862672,37.370267,,C2,0,MGE,,,,20110916122545,20110325143724,MRF:Can't locate the Outfall from Google Earth or Orthophoto
557,,87,Pipe,,,,EXISTING,,,San Jose,68A,Miguelita Creek,Coyote,-121.858485,37.364569,,C2,0,MGE,,,,20110916122545,20110325143725,
558,,87,Concrete,,,,EXISTING,,,San Jose,68D,Lower Silver Creek,Coyote,-121.819092,37.348822,,C2,0,MGE,,,,20110916122545,20110325143725,
559,,87,Concrete,,,,EXISTING,,,San Jose,68D,South Babb Creek,Coyote,-121.817465,37.350037,,C2,0,MGE,,,,20110916122545,20110325143726,
671,,87,Riprap,,,,EXISTING,,,San Jose,37D,Upper Penitencia Creek,Coyote,-121.819906,37.399125,,C2,0,MGE,,,,20110916122545,20110325143754,MRF:Can't locate the outfall from Google Earth or Orthophoto
674,,87,Pipe,,,,EXISTING,,,San Jose,68A,Miguelita Creek,Coyote,-121.853196,37.367831,,C2,0,MGE,,,,20110916122545,20110325143755,
2416,,87,Pipe,,,,EXISTING,,,San Jose,67B,Coyote Creek,Coyote,-121.88383,37.369138,,C2,0,DD-2823,,20100317000000,,20110916122545,20110105150458,
91,,87,Flapgate,,,,EXISTING,Calco,,San Jose,83C,Los Gatos Creek,Guadalupe River,-121.902732,37.321392,,C2,0,MGE,,,,20110916122545,20101104194736,MRF:Outfall isn‘t clearly visible on the orthophoto
2421,,87,Concrete,,,,EXISTING,,,San Jose,66B,Guadalupe River,Guadalupe River,-121.924903,37.367644,,C2,0,DD-2807,,20100422000000,,20110916122545,20110105150458,
2423,,87,Riprap,,,,EXISTING,,,San Jose,50D,Guadalupe River,Guadalupe River,-121.926722,37.375899,,C2,0,CAL-CHAR,,20100429000000,,20111020104031,20110925151909,ONLY ONE DIP SHEET FOR OUTFALL NUMBERS 2423A & 2423B
