STM_O_D_ID,TYPE,PCD_TYPE,PCD_IN_DAT,PCD_MANUF,STATUS,MATERIAL,PURPOSE,USE,LOCATION,OWNER,QTR_PANEL,WIDTH,LENGTH,DEPTH,OUTLET_INV,SHAPE,REC_DRAW,OTH_PN_CRE,OTH_PN_MOD,CONST_DATE,ACCEP_DATE,AT_MOD_DAT,GE_MOD_DAT,MESSAGE
152,Swale,,,,EXISTING,EARTH,Interim,STREET DRAIN,RIGHT-OF-WAY,San Jose,143B,,,,,V Channel,0,MGE,,,,20110916122547,20110930221552,
169,Swale,,,,EXISTING,EARTH,Permanent,OVERLAND RELEASE,EASEMENT,San Jose,155A,20,,,,Trapezoidal,0,MGE,,,,20110916122547,20110930221553,
170,Swale,,,,EXISTING,EARTH,Permanent,OVERLAND RELEASE,EASEMENT,San Jose,155A,20,,,,Trapezoidal,0,MGE,,,,20110916122547,20110930221554,
171,Swale,,,,EXISTING,EARTH,Permanent,STREET DRAIN,EASEMENT,San Jose,155A,2,,,,V Channel,0,MGE,,,,20110916122547,20110930221555,
174,Swale,,,,EXISTING,EARTH,Permanent,STREET DRAIN,RIGHT-OF-WAY,San Jose,157A,,,,,V Channel,0,MGE,,,,20140129084758,20140129084809,
180,Swale,,,,EXISTING,EARTH,Permanent,STREET DRAIN,RIGHT-OF-WAY,San Jose,157A,,,,,V Channel,0,MGE,,,,20110916122547,20140129075601,
183,Swale,,,,EXISTING,EARTH,Permanent,STREET DRAIN,RIGHT-OF-WAY,San Jose,157A,,,,,V Channel,0,MGE,,,,20110916122547,20110930221603,
186,Swale,,,,EXISTING,EARTH,Permanent,OVERLAND RELEASE,EASEMENT,San Jose,144C,,,,,Rectangular,0,MGE,,,,20110916122547,20110930221605,
563,Swale,,,,EXISTING,DRN RCK PRF PIP,Interim,OVERLAND RELEASE,RIGHT-OF-WAY,Private,157A,,100,,96.22,,-1,3-02163,,20080816000000,,20110916122547,20110930221606,
564,Swale,,,,EXISTING,DRN RCK PRF PIP,Interim,OVERLAND RELEASE,RIGHT-OF-WAY,Private,157A,,100,,96.22,,-1,3-02163,,20080816000000,,20110916122547,20110930221607,
565,Swale,,,,EXISTING,DRN RCK PRF PIP,Interim,OVERLAND RELEASE,RIGHT-OF-WAY,Private,157A,,33,,96.05,,-1,3-02163,,20080816000000,,20110916122547,20110930221609,
566,Swale,,,,EXISTING,DRN RCK PRF PIP,Interim,OVERLAND RELEASE,RIGHT-OF-WAY,Private,157A,,33,,96.05,,-1,3-02163,,20080816000000,,20110916122547,20110930221610,
586,Swale,,,,EXISTING,Drain Rock,Interim,OVERLAND RELEASE,RIGHT-OF-WAY,Private,114B,,16,,,,-1,3-13486,,20080530000000,,20110918155705,20110930221611,
587,Swale,,,,EXISTING,Drain Rock,Interim,OVERLAND RELEASE,RIGHT-OF-WAY,Private,114B,,16,,,,-1,3-13486,,20080530000000,,20110918155708,20110930221611,
187,Swale,,,,EXISTING,EARTH,Permanent,OVERLAND RELEASE,EASEMENT,San Jose,144C,,,,,Rectangular,0,MGE,,,,20110916122547,20110930221612,
223,Swale,,,,EXISTING,EARTH,Permanent,OVERLAND RELEASE,RIGHT-OF-WAY,San Jose,115B,,,,,,0,MGE,,,,20110916122547,20110930221613,
273,Swale,,,,EXISTING,EARTH,Permanent,OVERLAND RELEASE,EASEMENT,San Jose,129B,2,,,,V Channel,0,MGE,,,,20110916122547,20110930221614,
310,Swale,,,,EXISTING,EARTH,Interim,OVERLAND RELEASE,RIGHT-OF-WAY,San Jose,129A,,,,,,0,DD-0062,,20010618000000,,20110916122547,20110930221615,
313,Swale,,,,EXISTING,EARTH,Interim,OVERLAND RELEASE,EASEMENT,San Jose,129D,,,,,,0,DD-0068,,20010711000000,,20110916122547,20110930221616,
314,Swale,,,,EXISTING,EARTH,Interim,OVERLAND RELEASE,EASEMENT,San Jose,129D,,,,,,0,DD-0068,,20010711000000,,20110916122547,20110930221618,
315,Swale,,,,EXISTING,EARTH,Interim,OVERLAND RELEASE,EASEMENT,San Jose,129D,,,,,,0,DD-0068,,20010711000000,,20110916122547,20110930221619,
316,Swale,,,,EXISTING,EARTH,Interim,OVERLAND RELEASE,EASEMENT,San Jose,129D,,,,,,0,DD-0068,,20010711000000,,20110916122547,20110930221619,
317,Swale,,,,EXISTING,EARTH,Interim,OVERLAND RELEASE,EASEMENT,San Jose,101C,4,105,,,,-1,1-8925,,20010502000000,,20110916122547,20110930221620,
318,Swale,,,,EXISTING,EARTH,Interim,OVERLAND RELEASE,EASEMENT,San Jose,101C,8,65,,,,-1,1-8925,,20010502000000,,20110916122547,20110930221622,
323,Swale,,,,EXISTING,EARTH,Permanent,OVERLAND RELEASE,EASEMENT,San Jose,101D,5,35,,,Half Round,-1,1-9357,,20021009000000,,20110916122547,20110930221623,
597,Trench Drain,,,,EXISTING,Drain Rock,Interim,OVERLAND RELEASE,EASEMENT,Private,129C,,,,,,0,CIP1982,,,,,20111031080109,
527,Trench Drain,,,,EXISTING,DRN RCK PRF PIP,Interim,OVERLAND RELEASE,PARK,San Jose,85A,,172,,119.04,,-1,1-16_LK_CUNNG_PK_LAKE0304,,20040614000000,,20111008093146,20111008160645,
339,Swale,,,,EXISTING,EARTH,Permanent,STREET DRAIN,RIGHT-OF-WAY,San Jose,143D,,400,,,V Channel,0,3-14777,,20060515000000,,20111008100518,20111008160642,
724,Swale,,,,EXISTING,EARTH,Interim,STREET DRAIN,RIGHT-OF-WAY,San Jose,117A,,,,,,0,MGE,,,,20111008092016,20111008160646,
443,Trench Drain,,,,EXISTING,Drain Rock,Permanent,OVERLAND RELEASE,SCHOOL,Private,99C,8,97,,,,-1,3-07253M,,20050605000000,,20111008093751,20111008160644,MRF:Shape not sure
444,Trench Drain,,,,EXISTING,Drain Rock,Permanent,OVERLAND RELEASE,SCHOOL,Private,99C,8,98,,,,-1,3-07253M,,20050605000000,,20111008093633,20111008160645,MRF:Shape not sure
447,Trench Drain,,,,EXISTING,DRN RCK PRF PIP,Permanent,OVERLAND RELEASE,SCHOOL,Private,99C,8,98,,,,-1,3-07253M,,20050605000000,,20111008093453,20111008160645,MRF:Shape not sure
91,Swale,,,,EXISTING,EARTH,Permanent,STREET DRAIN,EASEMENT,San Jose,115C,3,,,,V Channel,0,MGE,,,,20110916122547,20110930221322,
92,Swale,,,,EXISTING,EARTH,Permanent,OVERLAND RELEASE,EASEMENT,San Jose,100D,10,110,,,V Channel,0,MGE,,,,20110916122547,20110930221322,
95,Swale,,,,EXISTING,EARTH,Permanent,OVERLAND RELEASE,EASEMENT,San Jose,115C,,,,,,0,MGE,,,,20110916122547,20110930221322,
96,Swale,,,,EXISTING,EARTH,Permanent,OVERLAND RELEASE,EASEMENT,San Jose,115D,,,,,,0,MGE,,,,20110916122547,20110930221323,
97,Swale,,,,EXISTING,EARTH,Permanent,STREET DRAIN,RIGHT-OF-WAY,San Jose,115D,2,,,,V Channel,0,MGE,,,,20110916122547,20110930221323,
98,Swale,,,,EXISTING,EARTH,Permanent,STREET DRAIN,RIGHT-OF-WAY,San Jose,115D,2,,,,V Channel,0,MGE,,,,20110916122547,20110930221324,
99,Swale,,,,EXISTING,EARTH,Permanent,STREET DRAIN,RIGHT-OF-WAY,San Jose,115D,2,,,,V Channel,0,MGE,,,,20110916122547,20110930221324,
100,Swale,,,,EXISTING,EARTH,Permanent,STREET DRAIN,RIGHT-OF-WAY,San Jose,115D,2,,,,V Channel,0,MGE,,,,20110916122547,20110930221324,
101,Swale,,,,EXISTING,EARTH,Permanent,STREET DRAIN,RIGHT-OF-WAY,San Jose,115D,2,,,,V Channel,0,MGE,,,,20110916122547,20110930221325,
102,Swale,,,,EXISTING,EARTH,Permanent,STREET DRAIN,RIGHT-OF-WAY,San Jose,115D,2,,,,V Channel,0,MGE,,,,20110916122547,20110930221325,
946,Swale,Bio-treatment,,,EXISTING,DRN RCK PRF PIP,Permanent,OVERLAND RELEASE,,Private,35A,72,109,30,99.24,Trapezoidal,0,3-11445G,,20100122000000,,,20140616133751,
947,Swale,,,,EXISTING,EARTH,Permanent,OVERLAND RELEASE,,Private,127A,24,100,,,Trapezoidal,-1,3-02093C,,20131018000000,,,20140707124141,
962,Trench Drain,,,,EXISTING,Concrete,Permanent,OVERLAND RELEASE,,Private,51A,,,,52,,-1,3-05560A,,20130103000000,,,20140813091902,
963,Trench Drain,,,,EXISTING,Concrete,Permanent,OVERLAND RELEASE,,Private,51A,,,,52,,-1,3-05560A,,20130103000000,,,20140813091903,
966,Trench Drain,,,,EXISTING,Concrete,Permanent,,,Private,67B,24,67,24,,Half Round,-1,3-01855,,20100128000000,,,20140820080605,ZURN z874-24u HDPE drain system
997,Swale,,,,EXISTING,Concrete,Permanent,STREET DRAIN,RIGHT-OF-WAY,San Jose,117A,,,,,Trapezoidal,0,DD-3179,,,,20141119110439,20141119104053,
998,Swale,,,,EXISTING,Concrete,Permanent,STREET DRAIN,RIGHT-OF-WAY,San Jose,116B,,,,,Trapezoidal,0,DD-3179,,,,20141119110423,20141119104129,
999,Swale,,,,EXISTING,Concrete,Permanent,STREET DRAIN,RIGHT-OF-WAY,San Jose,116B,,,,,Trapezoidal,0,DD-3179,,,,20141119110431,20141119104219,
1002,Trench Drain,,,,EXISTING,Concrete,Permanent,STREET DRAIN,,Private,68C,,,,99.3,Half Round,-1,3-18404C,,20110902000000,,20150108120739,20150108115621,upstream inv 100
1004,Trench Drain,,,,EXISTING,Concrete,Permanent,STREET DRAIN,,Private,68C,,60,,,Half Round,-1,3-18404C,,20110902000000,,20150108120714,20150108120630,upstream inv 99.73
1005,Trench Drain,,,,EXISTING,Concrete,Permanent,STREET DRAIN,,Private,68C,,52,,,Half Round,-1,3-18404C,,20110902000000,,,20150108120701,upstream inv 99.97
1006,Trench Drain,,,,EXISTING,Concrete,Permanent,STREET DRAIN,,Private,68C,,,,98.45,Half Round,-1,3-18404C,,20110902000000,,,20150108121855,upstream inv 101.14
948,Trench Drain,,,,EXISTING,Concrete,Permanent,OVERLAND RELEASE,,Private,51A,,,,37.5,,-1,3-08224,,20120615000000,,20140709122039,20140708153933,TG 41.60
949,Trench Drain,,,,EXISTING,Concrete,Permanent,OVERLAND RELEASE,,Private,51A,,,,37.5,,-1,3-08224,,20120615000000,,20140709122033,20140708154019,TG 41.60
953,Swale,,,,EXISTING,Concrete,Permanent,OVERLAND RELEASE,,San Jose,69A,2,,1,,V Channel,0,TR5852,,19770727000000,,,20140806080205,
954,Swale,,,,EXISTING,Concrete,Permanent,OVERLAND RELEASE,,San Jose,69A,2,,1,,V Channel,0,TR5852,,19770727000000,,,20140806081356,
955,Swale,,,,EXISTING,Drain Rock,Permanent,OVERLAND RELEASE,,San Jose,68C,,,,,Half Round,-1,MGE,THUN-98,,,20140806144733,20140806094636,DD-3279
958,Swale,,,,EXISTING,Concrete,Permanent,OVERLAND RELEASE,,San Jose,115B,,,,,Half Round,0,MGE,DD-3283,,,,20140807093008,
959,Swale,,,,EXISTING,Concrete,Permanent,OVERLAND RELEASE,,San Jose,115B,,,,,Half Round,0,MGE,DD-3283,,,,20140807093158,
960,Swale,,,,EXISTING,Concrete,Permanent,OVERLAND RELEASE,,San Jose,116A,,,,,Half Round,0,MGE,DD-3283,,,,20140807093353,
1001,Swale,,,,EXISTING,Concrete,Permanent,STREET DRAIN,,San Jose,67C,,233,,,V Channel,0,MGE,DD-3182,,,,20141222123835,
173,Swale,,,,EXISTING,EARTH,Permanent,STREET DRAIN,RIGHT-OF-WAY,San Jose,157A,,,,,V Channel,0,MGE,,,,20140129084902,20140129084911,
918,Swale,,,,EXISTING,EARTH,Permanent,OVERLAND RELEASE,,Private,115B,24,,,167.22,Trapezoidal,0,3-06528,,20110624000000,,,20140219123610,
