GP_DESIGN,GP_ABBR,GP_CODE,ACRES,PLAN_COMM,COLOR_RGB,LABEL_ORDER,PID
Light Industrial,LI,,20.12,Alviso Specific Plan Area,"207, 224, 217",10,1
Light Industrial,LI,,70.3,Alviso Specific Plan Area,"207, 224, 217",10,2
Combined Industrial/Commercial,CIC,,12.64,Urban Village,"212, 97, 252",8,3
Light Industrial,LI,,0.96,,"207, 224, 217",10,4
Residential Neighborhood,RN,,5.92,,"255, 255, 133",17,3530
Residential Neighborhood,RN,,5.8,,"255, 255, 133",17,3531
Residential Neighborhood,RN,,1.28,,"255, 255, 133",17,8853
Public/Quasi-Public,PQP,,7.99,,"209, 255, 240",12,13
"Open Space, Parklands and Habitat",OSPH,,2.8,,"96, 160, 0",22,14
Residential Neighborhood,RN,,5.37,,"255, 255, 133",17,3532
Residential Neighborhood,RN,,1.17,,"255, 255, 133",17,8854
Residential Neighborhood,RN,,7.13,,"255, 255, 133",17,3047
Industrial Park,IP,,4.9,,"138, 194, 230",9,2945
Light Industrial,LI,,3.45,Martha Gardens Specific Plan,"207, 224, 217",10,8339
Public/Quasi-Public,PQP,,9.23,,"209, 255, 240",12,19
Residential Neighborhood,RN,,9.75,,"255, 255, 133",17,3046
Residential Neighborhood,RN,,6.74,,"255, 255, 133",17,3048
Public/Quasi-Public,PQP,,2.08,,"209, 255, 240",12,5
Residential Neighborhood,RN,,3.78,,"255, 255, 133",17,6
Neighborhood/Community Commercial,NCC,,0.82,,"255, 125, 189",7,7
Industrial Park,IP,,12.64,,"138, 194, 230",9,8
Mixed Use Commercial,MUC,,0.85,,"255, 177, 96",6,8357
Neighborhood/Community Commercial,NCC,,1.72,,"255, 125, 189",7,9
Neighborhood/Community Commercial,NCC,,1.14,,"255, 125, 189",7,10
Public/Quasi-Public,PQP,,7.39,,"209, 255, 240",12,11
Residential Neighborhood,RN,,4.14,,"255, 255, 133",17,3559
Mixed Use Neighborhood,MUN,,11.63,,"207, 161, 22",16,34
Public/Quasi-Public,PQP,,7.66,,"209, 255, 240",12,35
"Open Space, Parklands and Habitat",OSPH,,11.63,,"96, 160, 0",22,36
Residential Neighborhood,RN,,18.3,,"255, 255, 133",17,6011
Residential Neighborhood,RN,,11.37,,"255, 255, 133",17,6012
Residential Neighborhood,RN,,3.11,,"255, 255, 133",17,3667
Residential Neighborhood,RN,,11.1,,"255, 255, 133",17,6013
Residential Neighborhood,RN,,10.97,,"255, 255, 133",17,6014
Residential Neighborhood,RN,,10.41,,"255, 255, 133",17,6015
Residential Neighborhood,RN,,8.57,,"255, 255, 133",17,6017
Residential Neighborhood,RN,,8.46,,"255, 255, 133",17,6018
Residential Neighborhood,RN,,5.7,,"255, 255, 133",17,6020
Residential Neighborhood,RN,,5.58,,"255, 255, 133",17,6023
Residential Neighborhood,RN,,4.98,,"255, 255, 133",17,6025
Residential Neighborhood,RN,,3.83,,"255, 255, 133",17,6030
Residential Neighborhood,RN,,1.99,,"255, 255, 133",17,8512
Urban Residential,UR,,2.08,,"160, 120, 0",15,53
Public/Quasi-Public,PQP,,2.81,,"209, 255, 240",12,54
Light Industrial,LI,,1.13,Martha Gardens Specific Plan,"207, 224, 217",10,8340
Residential Neighborhood,RN,,1.93,,"255, 255, 133",17,8513
Combined Industrial/Commercial,CIC,,0.35,,"212, 97, 252",8,55
Neighborhood/Community Commercial,NCC,,0.8,,"255, 125, 189",7,10245
"Open Space, Parklands and Habitat",OSPH,,48.95,,"96, 160, 0",22,57
Combined Industrial/Commercial,CIC,,5.3,,"212, 97, 252",8,8525
Combined Industrial/Commercial,CIC,,4.51,,"212, 97, 252",8,8526
Residential Neighborhood,RN,,9.01,,"255, 255, 133",17,6016
"Open Space, Parklands and Habitat",OSPH,,7.09,,"96, 160, 0",22,40
"Open Space, Parklands and Habitat",OSPH,,0.06,,"96, 160, 0",22,3528
Residential Neighborhood,RN,,16.65,,"255, 255, 133",17,3529
Residential Neighborhood,RN,,3.27,,"255, 255, 133",17,6036
Public/Quasi-Public,PQP,,9.16,,"209, 255, 240",12,41
Public/Quasi-Public,PQP,,12.3,,"209, 255, 240",12,42
Neighborhood/Community Commercial,NCC,,0.87,,"255, 125, 189",7,43
Neighborhood/Community Commercial,NCC,,1.64,,"255, 125, 189",7,44
Residential Neighborhood,RN,,3.11,,"255, 255, 133",17,3668
Residential Neighborhood,RN,,3.11,,"255, 255, 133",17,3669
Public/Quasi-Public,PQP,,10.55,,"209, 255, 240",12,45
Light Industrial,LI,,1.07,Martha Gardens Specific Plan,"207, 224, 217",10,8341
Residential Neighborhood,RN,,0.96,,"255, 255, 133",17,48
"Open Space, Parklands and Habitat",OSPH,,2.01,,"96, 160, 0",22,50
Residential Neighborhood,RN,,3.09,,"255, 255, 133",17,3670
Transit Residential,TR,,5.17,Martha Gardens Specific Plan,"100, 64, 0",14,8342
Rural Residential,RR,,2.56,,"255, 255, 208",18,20
Residential Neighborhood,RN,,16.29,,"255, 255, 133",17,6358
Lower Hillside,LH,,4.6,,"248, 225, 206",19,22
Rural Residential,RR,,3.29,,"255, 255, 208",18,23
Lower Hillside,LH,,3,,"248, 225, 206",19,6357
Residential Neighborhood,RN,,14.03,,"255, 255, 133",17,6359
Residential Neighborhood,RN,,10.91,,"255, 255, 133",17,6360
Transit Residential,TR,,3.78,Martha Gardens Specific Plan,"100, 64, 0",14,8343
Mixed Use Commercial,MUC,,0.88,,"255, 177, 96",6,8355
Mixed Use Commercial,MUC,,0.87,,"255, 177, 96",6,8356
Rural Residential,RR,,4.28,,"255, 255, 208",18,24
Rural Residential,RR,,14.22,,"255, 255, 208",18,25
Residential Neighborhood,RN,,1.24,,"255, 255, 133",17,26
Mixed Use Commercial,MUC,,1.68,Martha Gardens Specific Plan,"255, 177, 96",6,8336
Mixed Use Commercial,MUC,,1.29,Martha Gardens Specific Plan,"255, 177, 96",6,8337
Neighborhood/Community Commercial,NCC,,0.16,,"255, 125, 189",7,29
Neighborhood/Community Commercial,NCC,,0.35,,"255, 125, 189",7,30
"Open Space, Parklands and Habitat",OSPH,,28.7,,"96, 160, 0",22,31
Public/Quasi-Public,PQP,,10.36,,"209, 255, 240",12,32
Mixed Use Commercial,MUC,,0.36,Martha Gardens Specific Plan,"255, 177, 96",6,8338
Public/Quasi-Public,PQP,,26.39,,"209, 255, 240",12,84
Public/Quasi-Public,PQP,,2.03,,"209, 255, 240",12,85
Neighborhood/Community Commercial,NCC,,0.88,Urban Village,"255, 125, 189",7,86
Neighborhood/Community Commercial,NCC,,0.67,Urban Village,"255, 125, 189",7,87
"Open Space, Parklands and Habitat",OSPH,,9.24,,"96, 160, 0",22,88
Public/Quasi-Public,PQP,,1.8,,"209, 255, 240",12,89
Public/Quasi-Public,PQP,,46.43,,"209, 255, 240",12,90
Public/Quasi-Public,PQP,,8.61,,"209, 255, 240",12,91
"Open Space, Parklands and Habitat",OSPH,,0.39,,"96, 160, 0",22,92
Combined Industrial/Commercial,CIC,,25.45,,"212, 97, 252",8,59
Public/Quasi-Public,PQP,,16.63,,"209, 255, 240",12,60
Public/Quasi-Public,PQP,,10.77,,"209, 255, 240",12,61
Public/Quasi-Public,PQP,,9.89,,"209, 255, 240",12,62
"Open Space, Parklands and Habitat",OSPH,,232.23,,"96, 160, 0",22,63
Residential Neighborhood,RN,,11.94,,"255, 255, 133",17,8492
Public/Quasi-Public,PQP,,1.14,,"209, 255, 240",12,67
Combined Industrial/Commercial,CIC,,6.17,,"212, 97, 252",8,68
Residential Neighborhood,RN,,11.89,,"255, 255, 133",17,8493
Residential Neighborhood,RN,,11.29,,"255, 255, 133",17,8494
Public/Quasi-Public,PQP,,9.67,,"209, 255, 240",12,71
Public/Quasi-Public,PQP,,15.66,,"209, 255, 240",12,73
Neighborhood/Community Commercial,NCC,,0.6,,"255, 125, 189",7,8459
Urban Residential,UR,,22.1,,"160, 120, 0",15,8455
Urban Residential,UR,,14.76,,"160, 120, 0",15,8456
Public/Quasi-Public,PQP,,36.58,,"209, 255, 240",12,75
Residential Neighborhood,RN,,1.25,,"255, 255, 133",17,76
Mixed Use Neighborhood,MUN,,14.89,,"207, 161, 22",16,77
Residential Neighborhood,RN,,2.06,,"255, 255, 133",17,10265
Public/Quasi-Public,PQP,,8.99,,"209, 255, 240",12,79
Residential Neighborhood,RN,,10.46,,"255, 255, 133",17,6175
Public/Quasi-Public,PQP,,9.87,,"209, 255, 240",12,82
Residential Neighborhood,RN,,9.69,,"255, 255, 133",17,6177
Residential Neighborhood,RN,,10.14,,"255, 255, 133",17,6176
Residential Neighborhood,RN,,8.91,,"255, 255, 133",17,6178
Residential Neighborhood,RN,,8.37,,"255, 255, 133",17,6179
Residential Neighborhood,RN,,8.09,,"255, 255, 133",17,6180
Public/Quasi-Public,PQP,,2.29,,"209, 255, 240",12,102
Residential Neighborhood,RN,,8.06,,"255, 255, 133",17,6181
Neighborhood/Community Commercial,NCC,,9.76,Urban Village,"255, 125, 189",7,104
Residential Neighborhood,RN,,7.55,,"255, 255, 133",17,6182
Residential Neighborhood,RN,,3.57,,"255, 255, 133",17,9436
Residential Neighborhood,RN,,3.6,,"255, 255, 133",17,9435
Combined Industrial/Commercial,CIC,,9.54,,"212, 97, 252",8,131
Combined Industrial/Commercial,CIC,,4.35,,"212, 97, 252",8,132
"Open Space, Parklands and Habitat",OSPH,,8.29,,"96, 160, 0",22,133
Residential Neighborhood,RN,,3.63,,"255, 255, 133",17,6127
Public/Quasi-Public,PQP,,2.23,,"209, 255, 240",12,110
"Open Space, Parklands and Habitat",OSPH,,0.85,,"96, 160, 0",22,111
Residential Neighborhood,RN,,19.46,,"255, 255, 133",17,6172
Residential Neighborhood,RN,,11.86,,"255, 255, 133",17,6173
Residential Neighborhood,RN,,11.05,,"255, 255, 133",17,6174
Public/Quasi-Public,PQP,,7.98,,"209, 255, 240",12,112
Mixed Use Neighborhood,MUN,,11.5,Urban Village,"207, 161, 22",16,113
"Open Space, Parklands and Habitat",OSPH,,8.77,Urban Village,"96, 160, 0",22,114
Combined Industrial/Commercial,CIC,,3.06,,"212, 97, 252",8,115
Combined Industrial/Commercial,CIC,,7.32,,"212, 97, 252",8,118
Residential Neighborhood,RN,,4.83,,"255, 255, 133",17,11225
Public/Quasi-Public,PQP,,3.19,,"209, 255, 240",12,121
"Open Space, Parklands and Habitat",OSPH,,1,Urban Village,"96, 160, 0",22,122
Neighborhood/Community Commercial,NCC,,3.92,Urban Village,"255, 125, 189",16,123
Public/Quasi-Public,PQP,,7.88,,"209, 255, 240",12,125
Public/Quasi-Public,PQP,,9.19,,"209, 255, 240",12,126
Neighborhood/Community Commercial,NCC,,1.23,,"255, 125, 189",7,8457
Neighborhood/Community Commercial,NCC,,0.73,,"255, 125, 189",7,8458
Public/Quasi-Public,PQP,,19.73,,"209, 255, 240",12,95
"Open Space, Parklands and Habitat",OSPH,,14.89,,"96, 160, 0",22,97
Residential Neighborhood,RN,,3.05,,"255, 255, 208",17,98
Public/Quasi-Public,PQP,,8.86,,"209, 255, 240",12,100
Public/Quasi-Public,PQP,,9.43,,"209, 255, 240",12,101
Public/Quasi-Public,PQP,,9.97,,"209, 255, 240",12,153
Public/Quasi-Public,PQP,,10.63,,"209, 255, 240",12,154
Public/Quasi-Public,PQP,,9.08,,"209, 255, 240",12,155
Public/Quasi-Public,PQP,,9.94,,"209, 255, 240",12,157
Public/Quasi-Public,PQP,,6.71,,"209, 255, 240",12,158
Mixed Use Neighborhood,MUN,,1.18,Urban Village,"207, 161, 22",16,159
Private Recreation and Open Space,PROS,,2.48,,"117, 200, 145",21,160
Public/Quasi-Public,PQP,,9.33,,"209, 255, 240",12,161
Transit Residential,TR,,24.16,,"100, 64, 0",14,134
Public/Quasi-Public,PQP,,23.29,,"209, 255, 240",12,135
Neighborhood/Community Commercial,NCC,,3.32,,"255, 125, 189",7,136
Neighborhood/Community Commercial,NCC,,6.53,Urban Village,"255, 125, 189",7,8787
Residential Neighborhood,RN,,29.79,,"255, 255, 133",17,8789
Residential Neighborhood,RN,,9.07,,"255, 255, 133",17,8790
Public/Quasi-Public,PQP,,5.29,,"209, 255, 240",12,138
"Open Space, Parklands and Habitat",OSPH,,9.73,,"96, 160, 0",22,139
Public/Quasi-Public,PQP,,13.95,,"209, 255, 240",12,140
Neighborhood/Community Commercial,NCC,,4.17,Urban Village,"255, 125, 189",7,141
"Open Space, Parklands and Habitat",OSPH,,2.8,,"96, 160, 0",22,143
Public/Quasi-Public,PQP,,9.05,,"209, 255, 240",12,144
Public/Quasi-Public,PQP,,8.86,,"209, 255, 240",12,145
Public/Quasi-Public,PQP,,39.73,,"209, 255, 240",12,146
Transit Residential,TR,,3.43,,"100, 64, 0",14,147
"Open Space, Parklands and Habitat",OSPH,,20.31,,"96, 160, 0",22,148
Neighborhood/Community Commercial,NCC,,4.48,Urban Village,"255, 125, 189",7,8788
Public/Quasi-Public,PQP,,30.53,,"209, 255, 240",12,151
Residential Neighborhood,RN,,8.58,,"255, 255, 133",17,8791
Residential Neighborhood,RN,,7.52,,"255, 255, 133",17,8792
Residential Neighborhood,RN,,7.44,,"255, 255, 133",17,8793
Residential Neighborhood,RN,,7.05,,"255, 255, 133",17,8794
Residential Neighborhood,RN,,6.7,,"255, 255, 133",17,8795
Residential Neighborhood,RN,,6.56,,"255, 255, 133",17,8796
Residential Neighborhood,RN,,6.43,,"255, 255, 133",17,8797
Public/Quasi-Public,PQP,,8.4,,"209, 255, 240",12,170
Public/Quasi-Public,PQP,,2.42,,"209, 255, 240",12,172
Residential Neighborhood,RN,,6.06,,"255, 255, 133",17,8798
Residential Neighborhood,RN,,6.06,,"255, 255, 133",17,8799
Public/Quasi-Public,PQP,,6.84,,"209, 255, 240",12,183
Public/Quasi-Public,PQP,,8.85,,"209, 255, 240",12,184
Public/Quasi-Public,PQP,,9.41,,"209, 255, 240",12,185
Public/Quasi-Public,PQP,,8.46,,"209, 255, 240",12,186
Public/Quasi-Public,PQP,,9.51,,"209, 255, 240",12,187
"Open Space, Parklands and Habitat",OSPH,,11.5,,"96, 160, 0",22,188
Public/Quasi-Public,PQP,,10.19,,"209, 255, 240",12,189
Residential Neighborhood,RN,,1.08,,"255, 255, 133",17,191
Combined Industrial/Commercial,CIC,,6.12,Urban Village,"212, 97, 252",8,192
"Open Space, Parklands and Habitat",OSPH,,3.44,,"96, 160, 0",22,173
Public/Quasi-Public,PQP,,53.92,,"209, 255, 240",12,175
"Open Space, Parklands and Habitat",OSPH,,29.23,,"96, 160, 0",22,6431
Rural Residential,RR,,44.38,,"255, 255, 208",18,6432
Rural Residential,RR,,13.01,,"255, 255, 208",18,6433
Public/Quasi-Public,PQP,,8.19,,"209, 255, 240",12,176
"Open Space, Parklands and Habitat",OSPH,,0.92,,"96, 160, 0",22,177
"Open Space, Parklands and Habitat",OSPH,,3.71,,"96, 160, 0",22,178
"Open Space, Parklands and Habitat",OSPH,,1.06,,"96, 160, 0",22,179
Residential Neighborhood,RN,,27.2,,"255, 255, 133",17,180
Public/Quasi-Public,PQP,,8.97,,"209, 255, 240",12,181
Public/Quasi-Public,PQP,,18.85,,"209, 255, 240",12,182
"Open Space, Parklands and Habitat",OSPH,,5.62,,"96, 160, 0",22,162
"Open Space, Parklands and Habitat",OSPH,,5.2,,"96, 160, 0",22,163
Combined Industrial/Commercial,CIC,,22.69,,"212, 97, 252",8,9015
Public/Quasi-Public,PQP,,1.18,,"209, 255, 240",12,166
Residential Neighborhood,RN,,14.01,,"255, 255, 133",17,167
Lower Hillside,LH,,3.02,,"248, 225, 206",19,6356
Public/Quasi-Public,PQP,,9.2,,"209, 255, 240",12,169
Residential Neighborhood,RN,,5.46,,"255, 255, 133",17,6368
Residential Neighborhood,RN,,5.35,,"255, 255, 133",17,6369
Residential Neighborhood,RN,,5.05,,"255, 255, 133",17,6370
Public/Quasi-Public,PQP,,1.32,,"209, 255, 240",12,217
"Open Space, Parklands and Habitat",OSPH,,1.15,,"96, 160, 0",22,11220
"Open Space, Parklands and Habitat",OSPH,,1.21,,"96, 160, 0",22,220
"Open Space, Parklands and Habitat",OSPH,,0.29,,"96, 160, 0",22,221
"Open Space, Parklands and Habitat",OSPH,,0.07,,"96, 160, 0",22,11221
"Open Space, Parklands and Habitat",OSPH,,0.05,,"96, 160, 0",22,11222
Neighborhood/Community Commercial,NCC,,2.91,Urban Village,"255, 125, 189",7,6688
Public/Quasi-Public,PQP,,1.33,,"209, 255, 240",12,223
Public/Quasi-Public,PQP,,0.75,,"209, 255, 240",12,224
Public/Quasi-Public,PQP,,1.78,,"209, 255, 240",12,225
Neighborhood/Community Commercial,NCC,,1.44,,"255, 125, 189",7,226
Neighborhood/Community Commercial,NCC,,0.68,,"255, 125, 189",7,227
Neighborhood/Community Commercial,NCC,,0.72,,"255, 125, 189",7,228
Public/Quasi-Public,PQP,,1.33,,"209, 255, 240",12,229
Residential Neighborhood,RN,,11.72,,"255, 255, 133",17,6348
Private Recreation and Open Space,PROS,,1.42,,"117, 200, 145",21,194
"Open Space, Parklands and Habitat",OSPH,,0.99,,"96, 160, 0",22,195
"Open Space, Parklands and Habitat",OSPH,,0.44,,"96, 160, 0",22,196
Residential Neighborhood,RN,,11.62,,"255, 255, 133",17,6349
Residential Neighborhood,RN,,7.11,,"255, 255, 133",17,6350
Residential Neighborhood,RN,,7.93,,"255, 255, 133",17,6362
Residential Neighborhood,RN,,6.41,,"255, 255, 133",17,6364
Residential Neighborhood,RN,,6.24,,"255, 255, 133",17,6365
Residential Neighborhood,RN,,4.15,,"255, 255, 133",17,11294
Urban Residential,UR,,5.61,,"160, 120, 0",15,198
Rural Residential,RR,,7.88,,"255, 255, 208",18,200
Agriculture,A,,66.87,,"211, 255, 200",20,11323
"Open Space, Parklands and Habitat",OSPH,,3.22,,"96, 160, 0",22,201
"Open Space, Parklands and Habitat",OSPH,,0.14,,"96, 160, 0",22,202
"Open Space, Parklands and Habitat",OSPH,,0.1,,"96, 160, 0",22,203
"Open Space, Parklands and Habitat",OSPH,,2.43,,"96, 160, 0",22,204
"Open Space, Parklands and Habitat",OSPH,,1.88,,"96, 160, 0",22,205
"Open Space, Parklands and Habitat",OSPH,,0.46,,"96, 160, 0",22,206
"Open Space, Parklands and Habitat",OSPH,,3.1,Urban Village,"96, 160, 0",22,207
Residential Neighborhood,RN,,1.09,,"255, 255, 133",17,6134
"Open Space, Parklands and Habitat",OSPH,,2.29,,"96, 160, 0",22,209
"Open Space, Parklands and Habitat",OSPH,,0.13,,"96, 160, 0",22,210
Public/Quasi-Public,PQP,,0.35,,"209, 255, 240",12,211
Residential Neighborhood,RN,,1.48,,"255, 255, 133",17,6132
"Open Space, Parklands and Habitat",OSPH,,2.57,,"96, 160, 0",22,212
"Open Space, Parklands and Habitat",OSPH,,1.79,,"96, 160, 0",22,213
Residential Neighborhood,RN,,27.05,,"255, 255, 133",17,6513
Neighborhood/Community Commercial,NCC,,0.55,,"255, 125, 189",7,215
Residential Neighborhood,RN,,12.54,,"255, 255, 133",17,6514
Residential Neighborhood,RN,,8.89,,"255, 255, 133",17,6517
Residential Neighborhood,RN,,8.65,,"255, 255, 133",17,6518
Residential Neighborhood,RN,,7.87,,"255, 255, 133",17,6519
Residential Neighborhood,RN,,6.81,,"255, 255, 133",17,6520
Residential Neighborhood,RN,,6.75,,"255, 255, 133",17,6521
Residential Neighborhood,RN,,6.54,,"255, 255, 133",17,6522
Residential Neighborhood,RN,,5.64,,"255, 255, 133",17,6529
Residential Neighborhood,RN,,5.63,,"255, 255, 133",17,6531
Residential Neighborhood,RN,,5.22,,"255, 255, 133",17,6536
Residential Neighborhood,RN,,4.48,,"255, 255, 133",17,6542
Residential Neighborhood,RN,,4.14,,"255, 255, 133",17,6544
Light Industrial,LI,,51,Alviso Specific Plan Area,"207, 224, 217",10,245
Mixed Use Neighborhood,MUN,,1.69,Communications Hill Specific Plan,"207, 161, 22",16,11850
Heavy Industrial,HI,,31.2,,"122, 158, 150",11,247
Residential Neighborhood,RN,,6.64,,"255, 255, 133",17,10270
Residential Neighborhood,RN,,6.57,,"255, 255, 133",17,3049
Residential Neighborhood,RN,,5.04,,"255, 255, 133",17,3533
Residential Neighborhood,RN,,7.18,,"255, 255, 133",17,10269
Mixed Use Neighborhood,MUN,,1.72,Communications Hill Specific Plan,"207, 161, 22",16,11851
Mixed Use Neighborhood,MUN,,0.78,Communications Hill Specific Plan,"207, 161, 22",16,11852
"Open Space, Parklands and Habitat",OSPH,,0.98,,"96, 160, 0",22,260
Mixed Use Neighborhood,MUN,,3.24,,"207, 161, 22",16,261
Neighborhood/Community Commercial,NCC,,2.78,,"255, 125, 189",7,262
Public/Quasi-Public,PQP,,2.11,,"209, 255, 240",12,263
Public/Quasi-Public,PQP,,24.99,,"209, 255, 240",12,264
Neighborhood/Community Commercial,NCC,,1.08,,"255, 125, 189",7,265
Public/Quasi-Public,PQP,,8.53,,"209, 255, 240",12,266
Public/Quasi-Public,PQP,,11.3,,"209, 255, 240",12,267
Heavy Industrial,HI,,4.38,Communication Hill Specific Plan,"122, 158, 150",11,249
Neighborhood/Community Commercial,NCC,,1.28,,"255, 125, 189",7,250
"Open Space, Parklands and Habitat",OSPH,,1.84,,"96, 160, 0",22,251
"Open Space, Parklands and Habitat",OSPH,,8.38,,"96, 160, 0",22,252
"Open Space, Parklands and Habitat",OSPH,,25.14,,"96, 160, 0",22,253
Combined Industrial/Commercial,CIC,,16.05,,"212, 97, 252",8,255
"Open Space, Parklands and Habitat",OSPH,,11.01,,"96, 160, 0",22,256
Public/Quasi-Public,PQP,,2.1,,"209, 255, 240",12,257
Mixed Use Neighborhood,MUN,,18.41,,"207, 161, 22",16,258
Public/Quasi-Public,PQP,,1.57,,"209, 255, 240",12,230
"Open Space, Parklands and Habitat",OSPH,,0.18,,"96, 160, 0",22,232
"Open Space, Parklands and Habitat",OSPH,,2.21,,"96, 160, 0",22,233
Public/Quasi-Public,PQP,,2.29,,"209, 255, 240",12,234
"Open Space, Parklands and Habitat",OSPH,,90.59,,"96, 160, 0",22,11598
"Open Space, Parklands and Habitat",OSPH,,0.8,,"96, 160, 0",22,11599
Public/Quasi-Public,PQP,,1.41,,"209, 255, 240",12,235
Public/Quasi-Public,PQP,,1.08,,"209, 255, 240",12,236
Public/Quasi-Public,PQP,,1.99,,"209, 255, 240",12,237
Residential Neighborhood,RN,,6.55,,"255, 255, 133",17,11106
Neighborhood/Community Commercial,NCC,,1.36,,"255, 125, 189",7,239
Residential Neighborhood,RN,,4.23,,"255, 255, 133",17,11110
"Open Space, Parklands and Habitat",OSPH,,0.29,,"96, 160, 0",22,241
Neighborhood/Community Commercial,NCC,,0.65,,"255, 125, 189",7,242
Residential Neighborhood,RN,,7.37,,"255, 255, 133",17,10268
Residential Neighborhood,RN,,8.69,,"255, 255, 133",17,10267
Residential Neighborhood,RN,,3.95,,"255, 255, 133",17,11112
Residential Neighborhood,RN,,3.63,,"255, 255, 133",17,11114
Residential Neighborhood,RN,,30.45,,"255, 255, 133",17,11115
Neighborhood/Community Commercial,NCC,,6.4,,"255, 125, 189",7,298
Public/Quasi-Public,PQP,,5.17,,"209, 255, 240",12,299
Residential Neighborhood,RN,,4.77,,"255, 255, 133",17,300
Mixed Use Neighborhood,MUN,,5.68,,"207, 161, 22",16,8638
Mixed Use Neighborhood,MUN,,3.86,,"207, 161, 22",16,8639
Mixed Use Neighborhood,MUN,,3.77,,"207, 161, 22",16,8640
Mixed Use Neighborhood,MUN,,2,,"207, 161, 22",16,302
"Open Space, Parklands and Habitat",OSPH,,40.26,,"96, 160, 0",22,306
Residential Neighborhood,RN,,14.92,,"255, 255, 133",17,11031
Industrial Park,IP,,2.01,Communication Hill Specific Plan,"138, 194, 230",9,272
Public/Quasi-Public,PQP,,19.98,Urban Village,"209, 255, 240",12,273
Residential Neighborhood,RN,,13.18,,"255, 255, 133",17,11032
Public/Quasi-Public,PQP,,8.69,,"209, 255, 240",12,275
Residential Neighborhood,RN,,9.02,,"255, 255, 133",17,11033
Residential Neighborhood,RN,,8.04,,"255, 255, 133",17,11034
Residential Neighborhood,RN,,4.96,,"255, 255, 133",17,11035
Residential Neighborhood,RN,,4.08,,"255, 255, 133",17,11036
Residential Neighborhood,RN,,0.06,,"255, 255, 133",17,9761
Public/Quasi-Public,PQP,,4.73,,"209, 255, 240",12,277
Residential Neighborhood,RN,,13.74,,"255, 255, 133",17,9762
Public/Quasi-Public,PQP,,8.93,,"209, 255, 240",12,279
Neighborhood/Community Commercial,NCC,,1.37,,"255, 125, 189",7,280
Residential Neighborhood,RN,,0.26,,"255, 255, 133",17,9760
Residential Neighborhood,RN,,11.4,,"255, 255, 133",17,9763
Residential Neighborhood,RN,,9.65,,"255, 255, 133",17,9764
Residential Neighborhood,RN,,12.58,,"255, 255, 133",17,9772
Residential Neighborhood,RN,,11.18,,"255, 255, 133",17,9773
Residential Neighborhood,RN,,6.71,,"255, 255, 133",17,9774
Residential Neighborhood,RN,,4.15,,"255, 255, 133",17,9776
Residential Neighborhood,RN,,7.32,,"255, 255, 133",17,9777
Residential Neighborhood,RN,,7.31,,"255, 255, 133",17,9778
"Open Space, Parklands and Habitat",OSPH,,9.52,,"96, 160, 0",22,281
Public/Quasi-Public,PQP,,9.76,,"209, 255, 240",12,282
Light Industrial,LI,,5.13,,"207, 224, 217",10,284
Public/Quasi-Public,PQP,,0.96,,"209, 255, 240",12,285
Neighborhood/Community Commercial,NCC,,0.74,,"255, 125, 189",7,286
Light Industrial,LI,,0.2,,"207, 224, 217",10,287
Public/Quasi-Public,PQP,,10.03,,"209, 255, 240",12,288
Neighborhood/Community Commercial,NCC,,4.17,,"255, 125, 189",7,289
"Open Space, Parklands and Habitat",OSPH,,3.2,Communication Hill Specific Plan,"96, 160, 0",22,11453
Combined Industrial/Commercial,CIC,,76.31,Communication Hill Specific Plan,"212, 97, 252",8,293
"Open Space, Parklands and Habitat",OSPH,,4.48,,"96, 160, 0",22,295
Public/Quasi-Public,PQP,,9.52,,"209, 255, 240",12,296
Neighborhood/Community Commercial,NCC,,15.62,,"255, 125, 189",7,297
"Open Space, Parklands and Habitat",OSPH,,4.16,,"96, 160, 0",22,317
Public/Quasi-Public,PQP,,12.58,,"209, 255, 240",12,318
"Open Space, Parklands and Habitat",OSPH,,10.14,,"96, 160, 0",22,320
Public/Quasi-Public,PQP,,10.38,,"209, 255, 240",12,321
"Open Space, Parklands and Habitat",OSPH,,12.85,,"96, 160, 0",22,340
Residential Neighborhood,RN,,7.79,,"255, 255, 133",17,7050
Mixed Use Neighborhood,MUN,,9.07,,"207, 161, 22",16,342
Public/Quasi-Public,PQP,,29.23,,"209, 255, 240",12,344
Public/Quasi-Public,PQP,,10.53,,"209, 255, 240",12,7039
Public/Quasi-Public,PQP,,2.21,,"209, 255, 240",12,7040
Residential Neighborhood,RN,,12.29,,"255, 255, 133",17,6834
Public/Quasi-Public,PQP,,1.26,Urban Village,"209, 255, 240",12,346
Public/Quasi-Public,PQP,,13.53,,"209, 255, 240",12,6947
Residential Neighborhood,RN,,1.98,,"255, 255, 133",17,6951
Residential Neighborhood,RN,,6.24,,"255, 255, 133",17,10272
Mixed Use Neighborhood,MUN,,2.1,,"207, 161, 22",16,351
Residential Neighborhood,RN,,7.74,,"255, 255, 133",17,6926
Residential Neighborhood,RN,,10.7,,"255, 255, 133",17,6835
Residential Neighborhood,RN,,9.86,,"255, 255, 133",17,6836
Residential Neighborhood,RN,,8.37,,"255, 255, 133",17,6837
Residential Neighborhood,RN,,8.89,,"255, 255, 133",17,6838
Residential Neighborhood,RN,,21.07,,"255, 255, 133",17,6962
Residential Neighborhood,RN,,7.51,,"255, 255, 133",17,6963
Residential Neighborhood,RN,,6.88,,"255, 255, 133",17,6964
